,med,med,med,med,med,med,med,med,med,med,med,med,med,params,params,params,params,game,game,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,agents,agents,agents,net,net,net,net,meta
,NO_MED,GOOD_MED,BAD_MED,RANDOM_MED,FAIR_MED,GOOD_MED_X,BAD_MED_X,RANDOM_MED_X,FAIR_MED_X,GOOD_MED_LOCAL,BAD_MED_LOCAL,RANDOM_MED_LOCAL,FAIR_MED_LOCAL,W1,W2,N,episode_n,t,s,NO_MED,GOOD_MED,BAD_MED,RANDOM_MED,FAIR_MED,GOOD_MED_X,BAD_MED_X,RANDOM_MED_X,FAIR_MED_X,GOOD_MED_LOCAL,BAD_MED_LOCAL,RANDOM_MED_LOCAL,FAIR_MED_LOCAL,coop_freq,payoff_mean,payoff_var,heterogeneity,k_max,rewire_n,stop_n,timestamp
0,1,0.0,0.0,0.0,0.0,1,1,1,1,0.0,0.0,0.0,0.0,0.5,0.5,500,1,-1.0,2.0,0.204,0.0,0.0,0.0,0.0,0.214,0.2,0.19,0.192,0.0,0.0,0.0,0.0,0.506,15.18,934.9396,0.0,30,0,0,Jun-27-2021_1144
1,1,0.0,0.0,0.0,0.0,1,1,1,1,0.0,0.0,0.0,0.0,0.5,1.0,500,1,-1.0,2.0,0.168,0.0,0.0,0.0,0.0,0.228,0.212,0.188,0.204,0.0,0.0,0.0,0.0,0.494,14.82,909.3076,0.0,30,0,0,Jun-27-2021_1144
2,1,0.0,0.0,0.0,0.0,1,1,1,1,0.0,0.0,0.0,0.0,0.5,2.0,500,1,-1.0,2.0,0.222,0.0,0.0,0.0,0.0,0.186,0.174,0.226,0.192,0.0,0.0,0.0,0.0,0.528,15.84,897.8744,0.0,30,0,0,Jun-27-2021_1144
3,1,0.0,0.0,0.0,0.0,1,1,1,1,0.0,0.0,0.0,0.0,0.5,3.0,500,1,-1.0,2.0,0.2,0.0,0.0,0.0,0.0,0.236,0.166,0.212,0.186,0.0,0.0,0.0,0.0,0.454,13.62,913.3996000000001,0.0,30,0,0,Jun-27-2021_1144
4,1,0.0,0.0,0.0,0.0,1,1,1,1,0.0,0.0,0.0,0.0,1.0,0.5,500,1,-1.0,2.0,0.19,0.0,0.0,0.0,0.0,0.212,0.208,0.19,0.2,0.0,0.0,0.0,0.0,0.492,14.76,924.8744,0.0,30,0,0,Jun-27-2021_1144
5,1,0.0,0.0,0.0,0.0,1,1,1,1,0.0,0.0,0.0,0.0,1.0,1.0,500,1,-1.0,2.0,0.212,0.0,0.0,0.0,0.0,0.226,0.188,0.208,0.166,0.0,0.0,0.0,0.0,0.512,15.36,897.1624,0.0,30,0,0,Jun-27-2021_1144
6,1,0.0,0.0,0.0,0.0,1,1,1,1,0.0,0.0,0.0,0.0,1.0,2.0,500,1,-1.0,2.0,0.218,0.0,0.0,0.0,0.0,0.19,0.19,0.218,0.184,0.0,0.0,0.0,0.0,0.482,14.46,899.9924000000001,0.0,30,0,0,Jun-27-2021_1144
7,1,0.0,0.0,0.0,0.0,1,1,1,1,0.0,0.0,0.0,0.0,1.0,3.0,500,1,-1.0,2.0,0.206,0.0,0.0,0.0,0.0,0.194,0.208,0.206,0.186,0.0,0.0,0.0,0.0,0.48,14.4,907.62,0.0,30,0,0,Jun-27-2021_1144
8,1,0.0,0.0,0.0,0.0,1,1,1,1,0.0,0.0,0.0,0.0,2.0,0.5,500,1,-1.0,2.0,0.218,0.0,0.0,0.0,0.0,0.194,0.18,0.212,0.196,0.0,0.0,0.0,0.0,0.506,15.18,920.5476,0.0,30,0,0,Jun-27-2021_1144
9,1,0.0,0.0,0.0,0.0,1,1,1,1,0.0,0.0,0.0,0.0,2.0,1.0,500,1,-1.0,2.0,0.222,0.0,0.0,0.0,0.0,0.208,0.188,0.2,0.182,0.0,0.0,0.0,0.0,0.486,14.58,916.9076,0.0,30,0,0,Jun-27-2021_1144
10,1,0.0,0.0,0.0,0.0,1,1,1,1,0.0,0.0,0.0,0.0,2.0,2.0,500,1,-1.0,2.0,0.208,0.0,0.0,0.0,0.0,0.208,0.204,0.222,0.158,0.0,0.0,0.0,0.0,0.492,14.76,920.0623999999999,0.0,30,0,0,Jun-27-2021_1144
11,1,0.0,0.0,0.0,0.0,1,1,1,1,0.0,0.0,0.0,0.0,2.0,3.0,500,1,-1.0,2.0,0.198,0.0,0.0,0.0,0.0,0.204,0.224,0.188,0.186,0.0,0.0,0.0,0.0,0.494,14.82,921.2356,0.0,30,0,0,Jun-27-2021_1144
12,1,0.0,0.0,0.0,0.0,1,1,1,1,0.0,0.0,0.0,0.0,3.0,0.5,500,1,-1.0,2.0,0.194,0.0,0.0,0.0,0.0,0.236,0.174,0.198,0.198,0.0,0.0,0.0,0.0,0.522,15.66,908.9803999999999,0.0,30,0,0,Jun-27-2021_1144
13,1,0.0,0.0,0.0,0.0,1,1,1,1,0.0,0.0,0.0,0.0,3.0,1.0,500,1,-1.0,2.0,0.204,0.0,0.0,0.0,0.0,0.198,0.164,0.202,0.232,0.0,0.0,0.0,0.0,0.518,15.54,912.3124,0.0,30,0,0,Jun-27-2021_1144
14,1,0.0,0.0,0.0,0.0,1,1,1,1,0.0,0.0,0.0,0.0,3.0,2.0,500,1,-1.0,2.0,0.184,0.0,0.0,0.0,0.0,0.21,0.208,0.188,0.21,0.0,0.0,0.0,0.0,0.496,14.88,906.6536000000001,0.0,30,0,0,Jun-27-2021_1144
15,1,0.0,0.0,0.0,0.0,1,1,1,1,0.0,0.0,0.0,0.0,3.0,3.0,500,1,-1.0,2.0,0.206,0.0,0.0,0.0,0.0,0.194,0.21,0.19,0.2,0.0,0.0,0.0,0.0,0.486,14.58,920.5595999999999,0.0,30,0,0,Jun-27-2021_1144
16,1,0.0,0.0,0.0,0.0,1,1,1,1,0.0,0.0,0.0,0.0,inf,0.5,500,1,-1.0,2.0,0.196,0.0,0.0,0.0,0.0,0.196,0.226,0.204,0.178,0.0,0.0,0.0,0.0,0.468,14.04,898.9064,0.0,30,0,0,Jun-27-2021_1144
17,1,0.0,0.0,0.0,0.0,1,1,1,1,0.0,0.0,0.0,0.0,inf,1.0,500,1,-1.0,2.0,0.19,0.0,0.0,0.0,0.0,0.212,0.192,0.192,0.214,0.0,0.0,0.0,0.0,0.482,14.46,905.8084000000001,0.0,30,0,0,Jun-27-2021_1144
18,1,0.0,0.0,0.0,0.0,1,1,1,1,0.0,0.0,0.0,0.0,inf,2.0,500,1,-1.0,2.0,0.208,0.0,0.0,0.0,0.0,0.21,0.176,0.204,0.202,0.0,0.0,0.0,0.0,0.49,14.7,899.822,0.0,30,0,0,Jun-27-2021_1144
19,1,0.0,0.0,0.0,0.0,1,1,1,1,0.0,0.0,0.0,0.0,inf,3.0,500,1,-1.0,2.0,0.192,0.0,0.0,0.0,0.0,0.19,0.206,0.192,0.22,0.0,0.0,0.0,0.0,0.512,15.36,900.6304,0.0,30,0,0,Jun-27-2021_1144
